objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7939858",5G NR,Voorburg,2020/04/01,2020/04/15,5G NR,Leidschendam-Voorburg,83998,452989,2275CX,1982376000
"7939859",5G NR,Bunnik,2020/05/13,2020/05/27,5G NR,Bunnik,140625,452525,3981HB,198322666
"7939860",5G NR,Ruurlo,2021/04/24,2021/05/08,5G NR,Berkelland,231343,453092,7261RM,8594772397
"7939861",5G NR,Utrecht,2020/03/25,2020/04/08,5G NR,Utrecht,135241,452582,3526AP,7742938664
"7939862",5G NR,Bunnik,2020/05/15,2020/05/29,5G NR,Bunnik,142698,452634,3981AJ,230916907
"7939549",5G NR,Amsterdam,2020/03/20,2020/04/03,5G NR,Amsterdam,120989,488480,1013DC,2414018522
"7939550",5G NR,Almere,2020/03/27,2020/04/10,5G NR,Almere,143440,488397,1314AR,3846275947
"7939551",5G NR,Amsterdam,2020/08/07,2020/08/21,5G NR,Amsterdam,120121,488523,1051BL,9832358482
"7939552",5G NR,Haarlem,2020/04/16,2020/04/30,5G NR,Haarlem,103375,488679,2013DN,3613084081
"7939553",5G NR,Amsterdam,2020/04/02,2020/04/16,5G NR,Amsterdam,116194,488581,1063LW,1379616149
"7939554",5G NR,Amsterdam,2020/03/20,2020/04/03,5G NR,Amsterdam,117610,488600,1063AJ,9501115184
"7939555",5G NR,Almelo,2020/12/26,2021/01/09,5G NR,Almelo,242180,489232,7608HB,1823057987
"7939556",5G NR,Amsterdam,2020/04/01,2020/04/15,5G NR,Amsterdam,123053,488649,1021PH,6039305028
"7939557",5G NR,Amsterdam,2020/03/25,2020/04/08,5G NR,Amsterdam,125230,488741,1023BX,3448648656
"7939558",5G NR,Haarlemmerliede,2020/04/02,2020/04/16,5G NR,Haarlemmerliede c.a.,108511,488875,2065AA,8948353723
"7939559",5G NR,Haarlem,2020/04/02,2020/04/16,5G NR,Haarlem,105521,488907,2031CP,9915756602
"7939560",5G NR,Zwanenburg,2020/04/01,2020/04/15,5G NR,Haarlemmermeer,110411,488862,1161NL,4106821965
"7939561",5G NR,Denekamp,2020/07/04,2020/07/18,5G NR,Dinkelland,265930,489950,7591BK,1227598855
"7939562",5G NR,Amsterdam,2020/04/01,2020/04/15,5G NR,Amsterdam,124360,488840,1022AB,2326695679
"7939563",5G NR,Almere,2020/04/02,2020/04/16,5G NR,Almere,142029,488763,1316VA,3539487916
"7939564",5G NR,Haarlem,2020/04/16,2020/04/30,5G NR,Haarlem,104076,489019,2011LK,4855149973
"7939565",5G NR,Almere,2020/03/27,2020/04/10,5G NR,Almere,140840,488815,1319AS,3969587641
